Calculation,Time,,,
342,1.74306E-05,,,
343,1.77662E-05,,,
344,1.81366E-05,,,
345,1.76042E-05,,,
346,1.79514E-05,,,
347,1.76389E-05,,,
348,1.79398E-05,,,
349,1.77431E-05,,,
350,1.79051E-05,,,
351,1.77199E-05,,,
352,1.77199E-05,,,
353,1.81019E-05,,,
354,1.75463E-05,,,
355,1.76852E-05,,,
356,1.78125E-05,,,
357,1.75926E-05,,,
358,1.78356E-05,,,
359,1.75231E-05,,,
360,1.77083E-05,,,
361,1.73843E-05,,,
362,1.75926E-05,,,
363,1.75116E-05,,,
364,1.75463E-05,,,
365,2.05903E-05,,,
366,1.83565E-05,,,
367,1.72338E-05,,,
368,1.81829E-05,,,
369,1.7338E-05,,,
370,1.81713E-05,,,
371,1.82176E-05,,,
372,1.85185E-05,,,
373,1.74074E-05,,,
374,0.0000175,,,
375,1.74884E-05,,,
376,1.72338E-05,,,
377,1.80671E-05,,,
378,1.74074E-05,,,
379,1.74074E-05,,,
380,1.83912E-05,,,
381,1.7338E-05,,,
382,1.79861E-05,,,
383,1.77083E-05,,,
384,1.78588E-05,,,
385,1.75463E-05,,,
386,1.85301E-05,,,
387,1.85185E-05,,,
388,1.76273E-05,,,
389,2.03704E-05,,,
390,1.75926E-05,,,
391,1.75116E-05,,,
392,1.73958E-05,,,
393,1.7419E-05,,,
394,1.74884E-05,,,
395,1.76852E-05,,,
396,1.74769E-05,,,
397,1.81366E-05,,,
398,1.75463E-05,,,
399,1.8287E-05,,,
400,1.73148E-05,,,
401,1.72801E-05,,,
402,2.01273E-05,,,
403,2.19676E-05,,,
404,1.7963E-05,,,
405,1.78588E-05,,,
406,1.76505E-05,,,
407,1.84606E-05,,,
408,1.74884E-05,,,
409,1.79282E-05,,,
410,1.75926E-05,,,
411,1.80208E-05,,,
412,1.76736E-05,,,
413,1.80787E-05,,,
414,1.80787E-05,,,
415,1.79745E-05,,,
416,2.03241E-05,,,
417,1.72569E-05,,,
418,0.0000175,,,
419,1.72454E-05,,,
420,1.76389E-05,,,
421,1.78125E-05,,,
422,1.7662E-05,,,
423,1.78704E-05,,,
424,1.73611E-05,,,
425,1.76157E-05,,,
426,1.77894E-05,,,
427,1.95602E-05,,,
428,1.95718E-05,,,
429,1.75116E-05,,,
430,1.7662E-05,,,
431,1.88657E-05,,,
432,1.77199E-05,,,
433,1.78704E-05,,,
434,1.75926E-05,,,
435,1.76273E-05,,,
436,1.75231E-05,,,
437,1.81944E-05,,,
438,1.76042E-05,,,
439,1.81019E-05,,,
440,1.76505E-05,,,
441,1.74884E-05,,,
442,1.74306E-05,,,
443,1.8206E-05,,,
444,1.86921E-05,,,
445,1.75116E-05,,,
446,1.74074E-05,,,
447,1.74884E-05,,,
448,1.76505E-05,,,
449,1.78241E-05,,,
450,1.7963E-05,,,
451,1.74421E-05,,,
452,1.76042E-05,,,
453,1.7419E-05,,,
454,1.74421E-05,,,
455,1.76968E-05,,,
456,1.79398E-05,,,
457,1.75116E-05,,,
458,1.72685E-05,,,
459,1.84954E-05,,,
460,1.73495E-05,,,
461,1.75579E-05,,,
462,1.75926E-05,,,
463,1.79051E-05,,,
464,1.75347E-05,,,
465,1.73843E-05,,,
466,1.79051E-05,,,
467,2.04051E-05,,,
468,1.78935E-05,,,
469,1.74537E-05,,,
470,1.79861E-05,,,
471,1.72917E-05,,,
472,1.76852E-05,,,
473,1.77546E-05,,,
474,2.12037E-05,,,
475,1.78819E-05,,,
476,0.000018125,,,
477,1.81019E-05,,,
478,1.7581E-05,,,
479,1.74769E-05,,,
480,1.73264E-05,,,
481,1.7662E-05,,,
482,1.79051E-05,,,
483,1.74421E-05,,,
484,1.96181E-05,,,
485,2.2662E-05,,,
486,2.58796E-05,,,
487,2.62731E-05,,,
488,2.68287E-05,,,
489,2.58102E-05,,,
490,2.89236E-05,,,
491,2.63079E-05,,,
492,2.68403E-05,,,
493,2.59028E-05,,,
494,2.64583E-05,,,
495,2.6412E-05,,,
496,2.60185E-05,,,
497,2.69676E-05,,,
498,2.60185E-05,,,
499,2.66088E-05,,,
500,0.000026875,,,
501,2.59722E-05,,,
502,2.77199E-05,,,
503,2.59606E-05,,,
504,2.57986E-05,,,
505,2.65625E-05,,,
506,2.64931E-05,,,
507,2.61111E-05,,,
508,2.68981E-05,,,
509,2.61343E-05,,,
510,2.83565E-05,,,
511,2.62037E-05,,,
512,2.68171E-05,,,
513,2.64352E-05,,,
514,2.60301E-05,,,
515,2.58102E-05,,,
516,2.60532E-05,,,
517,0.0000275,,,
518,2.6169E-05,,,
519,2.64005E-05,,,
520,2.60417E-05,,,
521,2.68981E-05,,,
522,2.75579E-05,,,
523,2.68056E-05,,,
524,2.64005E-05,,,
525,2.73264E-05,,,
526,2.68287E-05,,,
527,2.6794E-05,,,
528,2.64005E-05,,,
529,2.94792E-05,,,
530,2.9456E-05,,,
531,2.67361E-05,,,
532,3.02431E-05,,,
533,2.58681E-05,,,
534,2.64352E-05,,,
535,2.62616E-05,,,
536,2.74421E-05,,,
537,2.6169E-05,,,
538,2.63426E-05,,,
539,2.59606E-05,,,
540,2.68056E-05,,,
541,2.70486E-05,,,
542,2.89468E-05,,,
543,2.62616E-05,,,
544,2.62384E-05,,,
545,2.61806E-05,,,
546,2.62963E-05,,,
547,2.59259E-05,,,
